track_name,artist_name,album_name,popularity,market,genres,duration_mins,release_year,tempo,speechiness,loudness,liveness,instrumentalness,energy,acousticness,valence,like
Me and the Birds,Duster,Contemporary Movement,71,USA,slowcore,4.863017,2000,119.643,0.0317,-6.552,0.53,0.0634,0.531,0.752,0.223,0
Bye Bye Bye,*NSYNC,No Strings Attached,69,USA,"boy band, dance pop",4.02555,2000,172.638,0.0479,-4.843,0.0821,0.0012,0.926,0.031,0.861,0
Papercut,Linkin Park,Hybrid Theory (Bonus Edition),75,USA,"alternative metal, nu metal, post-grunge, rap metal",4.65355,2000,150.184,0.113,-3.994,0.623,0,0.939,0.00022,0.661,1
Angel,Shaggy,Hot Shot,74,USA,"dance pop, pop rap, reggae fusion",3.482667,2000,170.531,0.178,-2.939,0.0406,0,0.766,0.116,0.807,1
The Way I Am,Eminem,The Marshall Mathers LP,73,USA,"detroit hip hop, hip hop, rap",4.000433,2000,87.248,0.265,-2.692,0.309,0,0.871,0.144,0.315,1
Hanging By A Moment,Lifehouse,No Name Face,66,USA,"alternative metal, neo mellow, pop rock, post-grunge",1.5871,2000,124.557,0.0357,-4.915,0.0896,0,0.864,0.00118,0.435,0
Red Red Wine,UB40,The Very Best Of,72,USA,"reggae fusion, uk reggae",3.519333,2000,89.119,0.0476,-8.53,0.269,1.32E-05,0.468,0.00414,0.843,0
Follow Me,Uncle Kracker,Double Wide,70,USA,"neo mellow, pop rock",3.34,2000,105.014,0.0301,-4.688,0.147,0,0.585,0.439,0.916,0
My Way,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,72,USA,"alternative metal, funk metal, nu metal, rap metal",3.562667,2000,97.225,0.0462,-3.981,0.683,1.68E-06,0.864,0.02,0.609,1
Beautiful Day,U2,All That You Can't Leave Behind,64,USA,"irish rock, permanent wave, rock",3.0811,2000,136.279,0.0499,-6.495,0.36,0.00136,0.926,0.014,0.454,0
Digital Bath,Deftones,White Pony,67,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",3.918883,2000,92.966,0.0824,-4.938,0.0936,0.211,0.859,0.00122,0.504,1
Take A Look Around,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,73,USA,"alternative metal, funk metal, nu metal, rap metal",4.840433,2000,101.968,0.046,-5.607,0.0935,0.306,0.852,0.0175,0.512,1
I Hope You Dance,Lee Ann Womack,I Hope You Dance,64,USA,"contemporary country, country, country dawn",4.783333,2000,151.278,0.0295,-9.627,0.0898,0,0.443,0.0632,0.275,0
A Place for My Head,Linkin Park,Hybrid Theory (Bonus Edition),70,USA,"alternative metal, nu metal, post-grunge, rap metal",3.6011,2000,133.063,0.184,-5.254,0.671,0,0.908,0.0144,0.457,1
Teenage Dirtbag,Wheatus,"Songs From Dawson's Creek, Vol. II",68,USA,pop rock,3.062217,2000,94.661,0.0495,-3.904,0.174,0.000233,0.85,0.346,0.633,0
Kill You,Eminem,The Marshall Mathers LP,68,USA,"detroit hip hop, hip hop, rap",3.64065,2000,106.991,0.379,-8.268,0.296,0.000127,0.559,0.155,0.677,1
Points of Authority,Linkin Park,Hybrid Theory (Bonus Edition),70,USA,"alternative metal, nu metal, post-grunge, rap metal",3.74155,2000,94.952,0.212,-3.886,0.0994,0,0.97,0.03,0.427,1
Bitch Please II,Eminem,The Marshall Mathers LP,71,USA,"detroit hip hop, hip hop, rap",3.2071,2000,95.517,0.133,-2.89,0.145,0,0.586,0.0783,0.779,1
Judith,A Perfect Circle,Mer De Noms,65,USA,"alternative metal, alternative rock, industrial metal, nu metal, rap rock, rock, supergroup",4.54955,2000,82.305,0.0568,-4.682,0.267,0.17,0.894,3.45E-05,0.304,1
Awake,Godsmack,Awake,64,USA,"alternative metal, nu metal, post-grunge, rap metal",3.978883,2000,112.092,0.0544,-4.12,0.319,0.00665,0.756,1.74E-05,0.475,1
I Wanna Know,Joe,My Name Is Joe,65,USA,"contemporary r&b, dance pop, hip pop, neo soul, r&b, urban contemporary",4.106667,2000,136.086,0.0368,-5.959,0.431,1.09E-05,0.487,0.26,0.599,0
Want You Bad,The Offspring,Conspiracy Of One,70,USA,"alternative metal, permanent wave, punk, rock, skate punk, socal pop punk",7.094217,2000,105.544,0.0538,-4.28,0.307,0,0.966,5.59E-05,0.614,0
Passenger,Deftones,White Pony,64,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",2.4291,2000,117.987,0.0551,-6.152,0.145,0.0668,0.797,0.00188,0.223,1
Mis Tres Viejas,Los Tucanes De Tijuana,Corridos De Primera Plana,67,USA,"corrido, musica bajacaliforniana, musica mexicana, norteno",4.256217,2000,98.865,0.0343,-4.717,0.116,0,0.629,0.523,0.968,0
By Your Side,Sade,Lovers Rock,69,USA,"british soul, sophisti-pop",2.7411,2000,146.073,0.0297,-10.473,0.0693,0.00371,0.429,0.0849,0.627,0
Put It On Me,Ja Rule,Rule 3:36,63,USA,"dance pop, east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap, urban contemporary",5.350667,2000,93.14,0.165,-4.714,0.0515,0,0.79,0.0024,0.791,1
Put Your Head On My Shoulder,Paul Anka,Put Your Head On My Shoulder: The Very Best Of Paul Anka,66,USA,"adult standards, canadian pop, easy listening, lounge, rock-and-roll",4.908883,2000,115.838,0.0307,-9.2,0.101,0,0.335,0.747,0.474,0
Renegades Of Funk,Rage Against The Machine,Renegades,65,USA,"alternative metal, alternative rock, conscious hip hop, funk metal, nu metal, political hip hop, rap metal, rap rock, rock",4.598433,2000,123.851,0.0577,-4.019,0.384,0.000579,0.908,0.00184,0.769,1
How to Disappear Completely,Radiohead,Kid A,66,USA,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",3.077333,2000,102.026,0.0345,-11.644,0.11,0.797,0.302,0.316,0.19,0
Dig,Mudvayne,L.D. 50,62,USA,"alternative metal, groove metal, industrial metal, nu metal, rap metal, rap rock",4.030667,2000,134.975,0.151,-3.548,0.261,0.0617,0.983,9.62E-05,0.271,1
Me Gustas,Joan Sebastian,Secreto De Amor,71,USA,"banda, grupera, musica mexicana, norteno, ranchera, tropical",4.406667,2000,145.375,0.0294,-8.086,0.108,7.37E-05,0.433,0.554,0.504,0
Lucky,Britney Spears,Oops!... I Did It Again,66,USA,"dance pop, pop",3.337333,2000,95.026,0.0317,-5.707,0.0669,0.000154,0.791,0.262,0.966,0
Only Time,Enya,A Day Without Rain,70,USA,"celtic, middle earth",4.803333,2000,82.803,0.0301,-13.744,0.112,0.661,0.249,0.841,0.213,0
Knife Prty,Deftones,White Pony,62,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",4.1211,2000,74.483,0.0446,-3.897,0.137,0.0234,0.883,0.00025,0.118,1
Under The Influence,Eminem,The Marshall Mathers LP,67,USA,"detroit hip hop, hip hop, rap",5.072883,2000,96.985,0.27,-4.32,0.135,0,0.752,0.0174,0.705,1
In the End,Linkin Park,Hybrid Theory,64,USA,"alternative metal, nu metal, post-grunge, rap metal",4.944883,2000,105.143,0.0584,-5.87,0.209,0,0.864,0.00958,0.4,1
Shape of My Heart,Backstreet Boys,Black & Blue,72,USA,"boy band, dance pop",3.3011,2000,96.102,0.0296,-4.353,0.159,0,0.786,0.252,0.518,0
Trouble,Coldplay,Parachutes,72,USA,"permanent wave, pop",3.376217,2000,139.757,0.0314,-7.496,0.17,0.0015,0.546,0.189,0.195,0
Runaway,Linkin Park,Hybrid Theory (Bonus Edition),65,USA,"alternative metal, nu metal, post-grunge, rap metal",3.947767,2000,109.16,0.0584,-4.743,0.253,0,0.884,0.0142,0.446,1
Cumbia De La Cobra,Fito Olivares y Su Grupo,ZoolÃƒÂ³gico Tropical,61,USA,gruperas inmortales,6.144433,2000,98.14,0.0362,-7.282,0.0746,0.0134,0.738,0.045,0.924,0
Bring It On Home to Me,Sam Cooke,The Man Who Invented Soul,64,USA,"adult standards, classic soul, soul",2.714,2000,70.838,0.0322,-7.496,0.184,0,0.532,0.631,0.609,0
Secreto De Amor,Joan Sebastian,Secreto De Amor,67,USA,"banda, grupera, musica mexicana, norteno, ranchera, tropical",4.582217,2000,96.502,0.0421,-7.111,0.106,4.75E-05,0.483,0.76,0.624,0
Rx Queen,Deftones,White Pony,60,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",4.380433,2000,143.155,0.0457,-6.596,0.171,0.274,0.919,0.000106,0.548,1
Hot Dog,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,64,USA,"alternative metal, funk metal, nu metal, rap metal",4.052667,2000,101.183,0.0701,-3.615,0.369,1.48E-05,0.938,0.00152,0.597,1
Stronger,Britney Spears,Oops!... I Did It Again,65,USA,"dance pop, pop",3.694883,2000,108.049,0.0521,-3.957,0.273,0.000437,0.923,0.128,0.842,0
Un Idiota,Joan Sebastian,Secreto De Amor,68,USA,"banda, grupera, musica mexicana, norteno, ranchera, tropical",4.190433,2000,85.366,0.0396,-9.174,0.118,0,0.39,0.517,0.34,0
Everything In Its Right Place,Radiohead,Kid A,64,USA,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",2.578883,2000,123.943,0.0449,-11.412,0.0954,0.0482,0.463,0.705,0.0629,0
Felicidad,Los Socios Del Ritmo,Felicidad,61,USA,"cumbia del sureste, cumbia sonidera, musica campechana, musica mexicana, ranchera, tropical",4.569333,2000,80.042,0.0446,-6.173,0.128,0,0.56,0.115,0.921,0
This I Promise You,*NSYNC,No Strings Attached,65,USA,"boy band, dance pop",5.938883,2000,165.975,0.0329,-6.279,0.128,0,0.587,0.354,0.466,0
Modern Day Bonnie and Clyde,Travis Tritt,Down The Road I Go,57,USA,"contemporary country, country, country road, country rock, outlaw country",4.7651,2000,89.727,0.0337,-5.075,0.277,1.79E-05,0.874,0.101,0.918,0
Loser,3 Doors Down,The Better Life,59,USA,"alternative metal, nu metal, pop rock, post-grunge",4.36555,2000,147.913,0.0693,-6.424,0.226,2.66E-05,0.88,0.0108,0.389,0
A Long Walk,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",56,USA,"funk, hip hop, hip pop, neo soul, quiet storm, r&b, soul, urban contemporary",5.070433,2000,75.714,0.248,-9.295,0.112,0.000137,0.541,0.0617,0.28,1
My Generation,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,67,USA,"alternative metal, funk metal, nu metal, rap metal",2.704883,2000,104.012,0.191,-2.389,0.111,2.12E-06,0.978,0.00231,0.342,1
With You,Linkin Park,Hybrid Theory (Bonus Edition),64,USA,"alternative metal, nu metal, post-grunge, rap metal",3.459767,2000,196.921,0.302,-4.004,0.111,0,0.978,0.0037,0.359,1
Me Gusta Vivir De Noche,Los Tucanes De Tijuana,Me Gusta Vivir De Noche,64,USA,"corrido, musica bajacaliforniana, musica mexicana, norteno",3.4371,2000,119.709,0.0479,-6.003,0.254,0.000822,0.594,0.335,0.953,0
Be Like That,3 Doors Down,The Better Life,60,USA,"alternative metal, nu metal, pop rock, post-grunge",4.582217,2000,95.982,0.0238,-6.043,0.129,4.97E-06,0.702,0.00528,0.306,0
Faggot,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,60,USA,"alternative metal, dance-punk, industrial metal, nu metal",3.990433,2000,152.042,0.115,-10.347,0.0766,0.000856,0.76,0.000916,0.561,0
Morir De Amor,Conjunto Primavera,Morir De Amor,64,USA,"musica chihuahuense, musica mexicana, norteno, ranchera, tropical",3.642433,2000,122.051,0.0272,-8.646,0.132,0.000498,0.584,0.0497,0.639,0
My First Love,Avant,My Thoughts,57,USA,"contemporary r&b, hip pop, neo soul, pop r&b, r&b, urban contemporary",2.2811,2000,125.95,0.033,-8.379,0.157,1.35E-06,0.368,0.0237,0.414,0
Love,Musiq Soulchild,Aijuswanaseing,55,USA,"contemporary r&b, hip pop, neo soul, r&b, urban contemporary",2.816667,2000,99.738,0.0499,-9.919,0.0876,0,0.385,0.342,0.339,0
You Can Do It,Ice Cube,War & Peace Vol. 2 (The Peace Disc),61,USA,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap",4.82,2000,99.887,0.164,-4.489,0.0502,0,0.853,0.000931,0.887,1
How I Could Just Kill a Man,Rage Against The Machine,Renegades,60,USA,"alternative metal, alternative rock, conscious hip hop, funk metal, nu metal, political hip hop, rap metal, rap rock, rock",5.3611,2000,95.884,0.105,-3.663,0.288,9.26E-06,0.939,0.00114,0.63,1
By Myself,Linkin Park,Hybrid Theory (Bonus Edition),62,USA,"alternative metal, nu metal, post-grunge, rap metal",3.613333,2000,103.026,0.173,-4.159,0.297,0.00301,0.935,0.0171,0.339,1
Gripa Colombiana,Los Tucanes De Tijuana,Corridos De Primera Plana,60,USA,"corrido, musica bajacaliforniana, musica mexicana, norteno",4.3662,2000,97.962,0.0325,-4.381,0.0902,0,0.621,0.59,0.965,0
The Hollow,A Perfect Circle,Mer De Noms,59,USA,"alternative metal, alternative rock, industrial metal, nu metal, rap rock, rock, supergroup",3.834883,2000,104.135,0.0702,-5.559,0.0986,0.0898,0.789,0.000166,0.515,1
Pushing Me Away,Linkin Park,Hybrid Theory (Bonus Edition),63,USA,"alternative metal, nu metal, post-grunge, rap metal",4.5571,2000,103.103,0.0425,-4.305,0.309,0,0.913,0.000391,0.279,1
Hold On Loosely,38 Special,20th Century Masters The Millennium Collection: Best of 38 Special,55,USA,"album rock, classic rock, country rock, hard rock, mellow gold, pop rock, rock, soft rock, southern rock",2.090667,2000,127.227,0.0288,-10.175,0.0764,0.00131,0.559,0.00888,0.898,0
La Playa,La Oreja de Van Gogh,El Viaje de Copperpot,73,USA,"latin arena pop, latin pop, mexican pop, spanish pop, spanish pop rock",3.066217,2000,88.535,0.0268,-5.707,0.106,0,0.552,0.175,0.311,0
Dare You To Move,Switchfoot,Learning To Breathe,58,USA,"ccm, christian alternative rock, christian music, christian rock, neo mellow, pop rock, worship",3.310217,2000,139.986,0.0404,-4.526,0.389,0.0693,0.881,0.00573,0.259,0
Shiver,Coldplay,Parachutes,66,USA,"permanent wave, pop",2.708883,2000,116.705,0.0487,-6.186,0.0688,0,0.803,0.0334,0.286,0
A Day Without Rain,Enya,A Day Without Rain,62,USA,"celtic, middle earth",3.81955,2000,70.614,0.0323,-16.315,0.102,0.924,0.159,0.907,0.039,0
Crazy,K-Ci & JoJo,X,57,USA,"contemporary r&b, dance pop, hip pop, quiet storm, r&b, urban contemporary",4.550133,2000,116.128,0.0259,-4.4,0.554,0,0.648,0.0987,0.448,0
Criminal,Eminem,The Marshall Mathers LP,60,USA,"detroit hip hop, hip hop, rap",4.4671,2000,101.941,0.268,-6.153,0.306,0,0.724,0.127,0.573,1
Bag Lady,Erykah Badu,Mama's Gun,57,USA,"afrofuturism, alternative r&b, hip hop, neo soul, r&b, urban contemporary",3.837333,2000,151.181,0.0841,-8.964,0.0969,0,0.416,0.365,0.578,1
Stupify,Disturbed,The Sickness,58,USA,"alternative metal, nu metal, rap metal",3.383333,2000,196.143,0.129,-3.916,0.186,2.17E-05,0.938,0.00234,0.437,1
The Fight Song,Marilyn Manson,Holy Wood,63,USA,"alternative metal, industrial, industrial metal, industrial rock, nu metal",3.3247,2000,130.055,0.0939,-3.783,0.212,0.000224,0.984,0.000133,0.0368,0
Wonderful,Everclear,Songs From An American Movie: Learning How To Smile,57,USA,"alternative metal, alternative rock, permanent wave, pop rock, post-grunge, rock",4.190433,2000,186.765,0.05,-6.489,0.346,8.25E-06,0.817,0.0118,0.734,0
The Way,Jill Scott,"Who Is Jill Scott? - Words and Sounds, Vol. 1",53,USA,"funk, hip hop, hip pop, neo soul, quiet storm, r&b, soul, urban contemporary",3.294,2000,140.418,0.0316,-9.712,0.0994,0.0113,0.402,0.0187,0.453,1
Promise,Jagged Edge,J.E. Heartbreak,56,USA,"atl hip hop, contemporary r&b, dance pop, hip hop, hip pop, neo soul, pop rap, quiet storm, r&b, southern hip hop, urban contemporary",6.994,2000,128.002,0.0872,-5.431,0.0288,0,0.568,0.136,0.646,1
If I Ever Feel Better,Phoenix,United,63,USA,"alternative dance, indie rock, modern rock, new rave, rock independant francais",4.746,2000,119.7,0.107,-9.449,0.0646,0.00607,0.553,0.0492,0.836,0
Forgotten,Linkin Park,Hybrid Theory (Bonus Edition),61,USA,"alternative metal, nu metal, post-grunge, rap metal",4.36415,2000,108.193,0.11,-3.817,0.366,0,0.947,0.0132,0.498,1
Shake Ya Ass,Mystikal,Let's Get Ready,56,USA,"crunk, dirty south rap, gangster rap, hardcore hip hop, hip hop, hip pop, houston rap, new orleans rap, pop rap, rap, southern hip hop, trap",4.324883,2000,98.054,0.32,-5.658,0.0515,0,0.607,0.0626,0.666,1
Pinch Me,Barenaked Ladies,Maroon,55,USA,"canadian pop, canadian rock, comic, pop rock",4.736217,2000,95.349,0.0373,-4.132,0.056,2.88E-05,0.857,0.0151,0.794,0
Lebanese Blonde,Thievery Corporation,Mirror Conspiracy,61,USA,"downtempo, electronica, livetronica, nu jazz, trip hop",2.26155,2000,92.002,0.0459,-6.583,0.0578,0.862,0.837,0.238,0.654,0
Man Overboard,blink-182,"The Mark, Tom And Travis Show (The Enema Strikes Back!) [Live]",60,USA,"pop punk, punk, rock, socal pop punk",4.413333,2000,196.291,0.0602,-4.414,0.0777,7.66E-06,0.921,0.00133,0.612,0
Separated,Avant,My Thoughts,54,USA,"contemporary r&b, hip pop, neo soul, pop r&b, r&b, urban contemporary",4.682883,2000,108.241,0.0276,-5.564,0.237,0,0.48,0.247,0.643,0
Hello,Ice Cube,War & Peace Vol. 2 (The Peace Disc),62,USA,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap",3.660667,2000,91.46,0.339,-6.176,0.389,0,0.61,0.155,0.627,1
Salty Dog,Flogging Molly,Swagger,56,USA,"celtic punk, celtic rock, comic, punk, skate punk",3.797767,2000,79.949,0.085,-6.581,0.398,0.000184,0.934,0.00742,0.776,0
Cien Por Uno,Los Tucanes De Tijuana,Corridos De Primera Plana,58,USA,"corrido, musica bajacaliforniana, musica mexicana, norteno",3.683333,2000,105.416,0.0312,-4.635,0.102,0,0.664,0.377,0.967,0
Marshall Mathers,Eminem,The Marshall Mathers LP,58,USA,"detroit hip hop, hip hop, rap",2.031333,2000,95.935,0.127,-3.177,0.0694,0,0.759,0.0361,0.268,1
We Never Change,Coldplay,Parachutes,61,USA,"permanent wave, pop",3.387767,2000,136.939,0.0296,-10.801,0.105,0.000169,0.288,0.535,0.131,0
Minority,Green Day,Warning,61,USA,"permanent wave, punk",4.266883,2000,137.841,0.0452,-2.772,0.171,0,0.965,0.00576,0.708,0
Drug Ballad,Eminem,The Marshall Mathers LP,57,USA,"detroit hip hop, hip hop, rap",3.594667,2000,104.759,0.0589,-3.411,0.125,0,0.7,0.0239,0.64,1
Gravity Rides Everything,Modest Mouse,The Moon & Antarctica,53,USA,"alternative rock, double drumming, indie rock, modern rock, rock, washington indie",4.431767,2000,103.262,0.0396,-7.972,0.504,0.0352,0.443,0.431,0.714,0
Lovers Rock,Sade,Lovers Rock,58,USA,"british soul, sophisti-pop",2.728433,2000,145.855,0.0437,-11.735,0.0771,0.00103,0.447,0.0194,0.78,0
Get Your Roll On,Big Tymers,I Got That Work,52,USA,"crunk, dirty south rap, gangster rap, hip hop, new orleans rap, pop rap, rap, southern hip hop, trap",3.038,2000,177.821,0.177,-7.776,0.0792,0.00188,0.709,0.0177,0.47,1
Laputa,Panchiko,D>E>A>T>H>M>E>T>A>L,55,USA,"alternative rock, diy emo",3.9471,2000,140.071,0.0264,-6.49,0.104,0.0905,0.513,0.876,0.158,0
Born to Fly,Sara Evans,Born To Fly,53,USA,"contemporary country, country, country dawn, country gospel, country road",2.322433,2000,100.178,0.035,-9.314,0.0637,0.0152,0.663,0.00931,0.558,0
Respeta Mi Dolor,Los Invasores De Nuevo LeÃƒÂ³n,Boleros 20Ã‚Â° Aniversario,52,USA,"musica mexicana, norteno",4.47525,2000,,,,,,,,,0
Me Gusta Tener De A Dos,El Halcon De La Sierra,Me Gusta Tener De A Dos,54,USA,"classic sierreno, corrido, corridos clasicos, musica mexicana, norteno",5.077767,2000,105.252,0.0437,-7.225,0.0736,0.000104,0.521,0.219,0.888,0
Again,Lenny Kravitz,Again,69,USA,"permanent wave, pop rock, rock",3.994217,2000,79.166,0.0271,-5.218,0.105,4.33E-05,0.804,0.0148,0.789,0
Jugando Al Amor,Conjunto Primavera,Morir De Amor,59,USA,"musica chihuahuense, musica mexicana, norteno, ranchera, tropical",4.318133,2000,98.226,0.027,-8.715,0.0646,0.0913,0.544,0.0917,0.262,0
Somebody That I Used To Know,Elliott Smith,Figure 8,56,USA,"alternative rock, indie rock, melancholia, pop rock, rock, singer-songwriter",4.078217,2000,108.446,0.03,-14.785,0.124,2.24E-06,0.367,0.432,0.77,0
The Light,Common,Like Water For Chocolate,55,USA,"alternative hip hop, chicago rap, conscious hip hop, gangster rap, hardcore hip hop, hip hop, neo soul, political hip hop, rap",3.163333,2000,96.968,0.235,-4.349,0.0854,0,0.727,0.0346,0.662,1
Wild Child,Enya,A Day Without Rain,60,USA,"celtic, middle earth",3.086433,2000,79.705,0.0256,-10.477,0.154,0.59,0.372,0.726,0.553,0
Batter Up,Nelly,Country Grammar,53,USA,"dance pop, hip hop, pop rap, southern hip hop, st louis rap, urban contemporary",2.982667,2000,159.711,0.258,-6.422,0.251,0,0.591,0.128,0.581,1
Pink Maggit,Deftones,White Pony,55,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",3.190667,2000,89.64,0.048,-6.622,0.11,0.308,0.668,0.00633,0.0362,1
Idioteque,Radiohead,Kid A,58,USA,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",2.348667,2000,137.544,0.273,-7.8,0.0915,2.23E-05,0.931,0.0352,0.525,0
Kim,Eminem,The Marshall Mathers LP,56,USA,"detroit hip hop, hip hop, rap",4.664883,2000,142.075,0.441,-3.05,0.481,0,0.923,0.0216,0.0778,1
There You Go,P!nk,Can't Take Me Home (Expanded Edition),58,USA,"dance pop, pop",3.024883,2000,107.908,0.0917,-6.729,0.0452,0,0.847,0.0854,0.668,0
Send It On,D'Angelo,Voodoo,55,USA,"funk, hip hop, indie soul, neo soul, soul",4.128217,2000,,,,,,,,,1
Bitches,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,54,USA,"alternative metal, dance-punk, industrial metal, nu metal",4.13155,2000,95.897,0.0976,-6.804,0.192,0.0647,0.72,0.0263,0.542,0
Raquenel Villanueva,Beto Quintanilla,El Mero LeÃƒÂ³n del Corrido,56,USA,"musica mexicana, norteno",2.53955,2000,109.544,0.0523,-4.456,0.07,0,0.779,0.205,0.878,0
Green Eyes,Erykah Badu,Mama's Gun,53,USA,"afrofuturism, alternative r&b, hip hop, neo soul, r&b, urban contemporary",3.956,2000,63.06,0.0565,-13.295,0.0449,0.0264,0.288,0.298,0.198,1
Lay Low,Snoop Dogg,Tha Last Meal,59,USA,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",5.07,2000,94.84,0.326,-4.353,0.303,0,0.653,0.151,0.755,1
Bring On The Rain,Jo Dee Messina,Burn,51,USA,"contemporary country, country, country dawn",2.614667,2000,138.115,0.0286,-7.25,0.177,0,0.404,0.689,0.148,0
The Call,Backstreet Boys,Black & Blue,63,USA,"boy band, dance pop",4.337767,2000,104.196,0.0772,-3.318,0.331,0,0.874,0.117,0.747,0
Who Knew,Eminem,The Marshall Mathers LP,56,USA,"detroit hip hop, hip hop, rap",5.162667,2000,100.894,0.307,-4.147,0.139,0,0.596,0.135,0.793,1
My December,Linkin Park,Hybrid Theory (Bonus Edition),58,USA,"alternative metal, nu metal, post-grunge, rap metal",2.13665,2000,100.021,0.0238,-9.274,0.147,0.0101,0.585,0.375,0.721,1
Motion Picture Soundtrack,Radiohead,Kid A,57,USA,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",4.614433,2000,90.835,0.0347,-16.128,0.13,0.706,0.13,0.921,0.0427,0
Paper Thin Walls,Modest Mouse,The Moon & Antarctica,51,USA,"alternative rock, double drumming, indie rock, modern rock, rock, washington indie",4.057767,2000,126.67,0.0363,-5.77,0.133,8.43E-05,0.793,0.0775,0.682,0
The Breakup Suite,Duster,Contemporary Movement,53,USA,slowcore,5.326667,2000,126.078,0.0288,-8.694,0.116,0.749,0.457,0.646,0.203,0
Yo Te Amo,Chayanne,Simplemente,65,USA,"latin pop, puerto rican pop, tropical",5.814883,2000,140.264,0.0272,-6.873,0.221,0,0.642,0.189,0.492,0
I Disappear,Metallica,I Disappear,51,USA,"hard rock, metal, old school thrash, rock, thrash metal",4.569333,2000,122.733,0.047,-3.609,0.036,5.58E-05,0.929,0.000206,0.447,0
Bent,Matchbox Twenty,Mad Season,54,USA,"neo mellow, pop rock, post-grunge",2.929333,2000,95.468,0.0386,-6.814,0.375,3.85E-06,0.83,0.0404,0.527,0
Hello Operator,The White Stripes,De Stijl,54,USA,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, modern rock, permanent wave, punk blues, rock",4.680217,2000,95.411,0.0481,-8.942,0.151,0.000582,0.718,0.261,0.646,0
Stiff Upper Lip,AC/DC,Stiff Upper Lip,63,USA,"australian rock, hard rock, rock",4.262217,2000,123.691,0.033,-4.206,0.16,0.00773,0.851,0.0344,0.706,0
Pistol Grip Pump,Rage Against The Machine,Renegades,55,USA,"alternative metal, alternative rock, conscious hip hop, funk metal, nu metal, political hip hop, rap metal, rap rock, rock",4.112,2000,92.553,0.255,-3.873,0.0654,4.10E-06,0.887,0.0243,0.726,1
X,Xzibit,Restless,61,USA,"detroit hip hop, g funk, gangster rap, hardcore hip hop, hip hop, pop rap, rap, west coast rap",4.443333,2000,96.911,0.21,-3.012,0.0838,0,0.678,0.0795,0.822,1
